index,model1,dataset1,gpu_num1,batch_size1,speed1,co_pipeline_rank,pipeline_strategy,model2,dataset2,gpu_num2,batch_size2,speed2
54,Bert-Large,WikiText,2,256/16,0.46,"0,1","6,18",resnet50,ImageNet,2,32,0.79
55,Bert-Large,WikiText,2,256/16,0.4,"0,1","6,18",resnet50,ImageNet,2,64,0.83
56,Bert-Large,WikiText,2,256/16,0.34,"0,1","6,18",resnet50,ImageNet,2,128,0.92
57,Bert-Large,WikiText,2,256/16,0.3,"0,1","6,18",vgg19,ImageNet,2,32,0.85
58,Bert-Large,WikiText,2,256/16,0.22,"0,1","6,18",vgg19,ImageNet,2,64,0.86
59,Bert-Large,WikiText,2,256/16,0.0,"0,1","6,18",vgg19,ImageNet,2,128,0.0
60,Bert-Large,WikiText,2,256/16,0.59,"0,1","6,18",DCGAN,LSUN,2,32,0.95
61,Bert-Large,WikiText,2,256/16,0.57,"0,1","6,18",DCGAN,LSUN,2,64,0.93
62,Bert-Large,WikiText,2,256/16,0.54,"0,1","6,18",DCGAN,LSUN,2,128,0.96
63,Bert-Large,WikiText,2,256/16,0.43,"0,1","6,18",PointNet,ShapeNet,2,32,0.99
64,Bert-Large,WikiText,2,256/16,0.37,"0,1","6,18",PointNet,ShapeNet,2,64,1.0
65,Bert-Large,WikiText,2,256/16,0.27,"0,1","6,18",PointNet,ShapeNet,2,128,1.0
66,Bert-Large,WikiText,2,256/16,0.62,"0,1","12,12",resnet50,ImageNet,2,32,0.5
67,Bert-Large,WikiText,2,256/16,0.55,"0,1","12,12",resnet50,ImageNet,2,64,0.63
68,Bert-Large,WikiText,2,256/16,0.48,"0,1","12,12",resnet50,ImageNet,2,128,0.74
69,Bert-Large,WikiText,2,256/16,0.4,"0,1","12,12",vgg19,ImageNet,2,32,0.74
70,Bert-Large,WikiText,2,256/16,0.3,"0,1","12,12",vgg19,ImageNet,2,64,0.84
71,Bert-Large,WikiText,2,256/16,0.0,"0,1","12,12",vgg19,ImageNet,2,128,0.0
72,Bert-Large,WikiText,2,256/16,0.8,"0,1","12,12",DCGAN,LSUN,2,32,0.64
73,Bert-Large,WikiText,2,256/16,0.78,"0,1","12,12",DCGAN,LSUN,2,64,0.64
74,Bert-Large,WikiText,2,256/16,0.74,"0,1","12,12",DCGAN,LSUN,2,128,0.63
75,Bert-Large,WikiText,2,256/16,0.59,"0,1","12,12",PointNet,ShapeNet,2,32,0.73
